creates_hidden_file,Ransomware appends_extension,antivm_queries_computername,network service communication,create service,Generate Crypto Key,Create_exe,Network tor,antivm_memory_available,Peid Packer,Persistance autorun,mov_count,transfer_count,arithmetic_count,call_count,compare_count,avg_betweenness_centrality,avg_closeness_centrality,avg_degree_centrality,avg_eigenvector_centrality,avg_pagerank,avg_katz_centrality,avg_clustering_coefficient,label
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,49,183,7,54,15,0.0745191697013088,0.240636327403078,0.402623825971472,0.22787960088418,0.191253050927973,0.38843239127886797,0.110784948055733,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
0,0,0,1,1,0,0,1,0,1,1,25,66,2,14,7,0.0509920634920634,0.374064411117982,0.677857142857142,0.321637635744688,0.288015873015873,0.516652155957058,0.154722222222222,1
0,0,0,1,1,0,0,1,0,1,1,26,65,2,14,8,0.0497197247197247,0.309315916674505,0.632683982683982,0.348869763559793,0.313347763347763,0.519753104016775,0.149646464646464,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,32,68,2,17,12,0.0683605540723029,0.215284114351644,0.311090342538306,0.107180329830264,0.111083361083361,0.30806103928703,0.246614866614866,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0459774436090225,0.300344946059231,0.516190476190476,0.23160841788292,0.194761904761904,0.422929694666566,0.248386243386243,1
0,0,0,1,1,0,0,1,0,1,1,233,158,16,137,46,0.0607823254177401,0.22016120248133,0.399013020067815,0.269633824913558,0.206413224965478,0.405341047072504,0.0970903969180667,1
0,0,0,1,1,0,0,1,0,1,1,29,69,2,16,11,0.0523251892264441,0.307398808030434,0.530462354833064,0.238776868181182,0.212137716085084,0.428177650233725,0.18900630315104,1
0,0,0,1,1,0,0,1,0,1,1,32,69,2,20,12,0.0490358089622795,0.275855895372008,0.461288041164202,0.251996506371393,0.177014652014651,0.404022781170813,0.17050468050468,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,32,97,2,27,9,0.0361394665756348,0.268430605503452,0.715933103704001,0.474476740172091,0.431760774485232,0.601264871387849,0.156476976755614,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,31,58,2,16,12,0.0592188135938135,0.281755500331824,0.464724580974581,0.246487869338997,0.16709552022052,0.385911220983663,0.25647093068968,1
0,0,0,1,1,0,0,1,0,1,1,31,63,2,15,6,0.0522621288304518,0.262229706439816,0.436234841762792,0.190204706344034,0.15985260770975,0.375470357640519,0.235988095238095,1
0,0,0,1,1,0,0,1,0,1,1,26,65,2,14,8,0.0497197247197247,0.309315916674505,0.632683982683982,0.348869763559793,0.313347763347763,0.519753104016775,0.149646464646464,1
0,0,0,1,1,0,0,1,0,1,1,29,69,2,16,11,0.0523251892264441,0.307398808030434,0.530462354833064,0.238776868181182,0.212137716085084,0.428177650233725,0.18900630315104,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0635753599685488,0.237031177573267,0.366123642439431,0.148557690612425,0.139891395154553,0.361849021218058,0.188517126148705,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0578571428571428,0.306712722462722,0.522380952380952,0.231609763835809,0.177460317460317,0.408172217006089,0.291111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,32,69,2,16,6,0.0643073896225156,0.2827978727508,0.455622248899559,0.169908634366294,0.165517873816193,0.388077307890863,0.273631535947712,1
